,pageNo,word,number,pronunciation,meaning,pos,IPA [B],language,class,sentence,source
333,,অকার্য,১,,বাজে কাজ,,,,,,
334,,অকার্য,১,,অকর্তব্য ,বিণ,,স. [সংস্কৃত],,তাহা বস্তুত অকার্য।,
335,,অকার্য,১,,অকরণীয়,,,,,,
336,,অকার্যকর,১,,কুুকর্মকারী,বিণ,,স. [সংস্কৃত],,,
337,,অকার্যকর,২,,বৃথা,,,,,,
338,,অকার্যকর,২,,নিষ্ফল,,,,,,
339,,অকার্যকরী,১,,কুকর্মকারী,বিণ,,স. [সংস্কৃত],,,
340,,অকার্যকরী,২,,বৃথা,,,,,,
341,,অকার্যকরী,২,,নিষ্ফল,,,,,,
342,,অকাল,১,অকাল্‌,অসময়,বি,,স. [সংস্কৃত],,,
343,,অকাল,১,,অপরিণত কাল,,,,,,
344,,অকাল,২,,দুর্ভিক্ষ,,,,,এ দেশে অকাল নাই।,
345,,অকাল,৩,,অপ্রশস্তকাল,,,,জ্যাবি [জ্যোতির্বিদ্যা],ওদিকে সামনে একটা অকাল চার পাঁচটা মাস জুড়িয়া।,
346,,অকাল,৩,,যে কাল শুভ কাজের উপযোগী নয়,,,,,,
347,,অকাল,১,,অসময়োচিত,বিণ,,স. [সংস্কৃত],,তেঁই শুখাইল জলপূর্ণ আলবাল অকাল নিদাঘে।,
348,,অকালে,১,,অসময়ে,ক্রিবিন,,স. [সংস্কৃত],,,
349,,অকালে,১,,অনুপযুক্ত কালে,,,,,,
350,,অকাল-অপক্ব,১,,বোকা,বিণ,,স. [সংস্কৃত],,হয় সে অকালপক্ব; নয় সে অকাল-অপক্ব।,
351,,অকাল-অপক্ব,১,,বয়োসোচিত  ইয় বহার বা বুদ্ধির অভাব,,,,,,
352,,অকালকুষ্মান্ড,১,,অকালে উৎপন্ন কুমড়া,বি,,স. [সংস্কৃত],,,
353,,অকালকুষ্মান্ড,২,,মূর্খ,,,,,,
354,,অকালকুষ্মান্ড,২,,অকর্মণ্য,,,,,,
355,,অকালকুষ্মান্ড,২,,অপদার্থ,,,,,,
356,,অকালজ,১,,নির্ধারিত সময়ের পূর্বে বা পরে জন্মেছে এমন,বিণ,,স. [সংস্কৃত],,,
357,,অকালজ,১,,অকালে উৎপন্ন,,,,,,
358,,অকালজাত,১,,নির্ধারিত সময়ের পূর্বে বা পরে জন্মেছে এমন,বিণ,,স. [সংস্কৃত],,,
359,,অকালজাত,১,,অকালে উৎপন্ন,,,,,,
360,,অকালপক্ব,১,,অকালে পাকা,বিণ,,স. [সংস্কৃত],,,
361,,অকালপক্ব,২,,ইঁচড়ে পাকা,,,,,,
362,,অকালপক্ব,২,,বাল্যে বৃদ্ধের ন্যায় আচরণ যার,,,,,,
363,,অকালপক্বতা,,,,বি,,স. [সংস্কৃত],,,
364,,অকাল বার্ধক্য,১,,অসময়ে আগত বৃদ্ধাবস্থা,বি,,স. [সংস্কৃত],,,
365,,অকাল বৃদ্ধ,১,,যথাসময়ের পূর্বেই বার্ধক্যে উপনীত,বিণ,,স. [সংস্কৃত],,থেকো না অকালবৃদ্ধ বসিয়া একেলা।,
366,,অকালবোধন,১,,অসময়ে আহবান,বি,,স. [সংস্কৃত],,,
367,,অকালবোধন,২,,অসময়ে কোনো কাজ সম্পাদন,,,,,,
368,,অকালমৃত্যু,১,,পরিণত বয়সের পূর্বে মৃত্যু,বি,,স. [সংস্কৃত],,,
369,,অকালসন্ধ্যা,১,,অসময়ে আগত সময়,বি,,স. [সংস্কৃত],,,
370,,অকালী,,,,,,,,,
371,,অকাল্পনিক,১,অকাল্‌পোনিক,কল্পনাপ্রসূত নয়,বিণ,,স. [সংস্কৃত],,"সে যে অকাল্পনিক, সে যে সত্য।",
372,,অকাল্পনিক,১,,বাস্তব,,,,,,
373,,অকিঞ্চন,১,"অকিন্‌চন্‌, অকিন্‌চোন্‌",কিছুই নেই এমন,বিণ,,স. [সংস্কৃত],,নিতান্ত অকিঞ্চনের ঘরের হতভাগ্য মলিন শিশু।,
374,,অকিঞ্চন,১,,নিঃস্ব,,,,,,
375,,অকিঞ্চন,১,,দরিদ্র,,,,,,
376,,অকিঞ্চন,২,,তুচ্ছ,,,,,"কৃপা প্রভু, কর অকিঞ্চনে।",
377,,অকিঞ্চন,২,,নগণ্য,,,,,,
378,,অকিঞ্চন,৩,,ইতর,,,,,আমি অতি হেয় ও অকিঞ্চন।,
379,,অকিঞ্চন,৩,,মূঢ়,,,,,,
380,,অকিঞ্চন,৩,,অধম,,,,,,
381,,অকিঞ্চনতা,,,,বি,,স. [সংস্কৃত],,,
382,,অকিঞ্চনত্ব,,,,বি,,স. [সংস্কৃত],,,
383,,অকিঞ্চিৎ,১,অকিন্‌চিত্‌,নগণ্য,বিণ,,স. [সংস্কৃত],,সংসার অতি অকিঞ্চিৎকর।,
384,,অকিঞ্চিৎ,১,,তুচ্ছ,,,,,,
385,,অকিঞ্চিৎকর,১,অকিন্‌চিত্‌কর্‌,নগণ্য,বিণ,,স. [সংস্কৃত],,সংসার অতি অকিঞ্চিৎকর।,
386,,অকিঞ্চিৎকর,১,,তুচ্ছ,,,,,,
387,,অকিঞ্চিৎকরতা,১,,সামান্য অবস্থা,বি,,স. [সংস্কৃত],,এতকালের অকিঞ্চিৎকরতা থেকে।,
388,,অকিঞ্চিৎকরতা,১,,নগণ্য ভাব,,,,,,
389,,অকীর্তি,১,অকির্‌তি,অখ্যাতি,বি,,স. [সংস্কৃত],,,
390,,অকীর্তি,১,,নিন্দা,,,,,,
391,,অকীর্তি,১,,দুর্নাম,,,,,,
392,,অকীর্তিকর,,,,বিণ,,স. [সংস্কৃত],,,
393,,অকীর্তিত,১,,প্রচারিত হয়নি এমন,বিণ,,স. [সংস্কৃত],,,
394,,অকীর্তিত,১,,অঘোষিত,,,,,,
395,,অকীর্তিত,১,,অজানা,,,,,,
396,,অকীর্ত,১,,প্রচারিত হয়নি এমন,বিণ,,স. [সংস্কৃত],,অন্য কন্যা চিত্র করে একথা অকীর্ত।,
397,,অকীর্ত,১,,অঘোষিত,,,,,,
398,,অকীর্ত,১,,অজানা,,,,,,
399,,অকু,১,অকু,ঘটনা,বি,,আ. [আরবি],,,
400,,অকু,১,,দুর্ঘটনা,,,,,,
401,,অকু,১,,অপরাধমূলক কার্য,,,,,,
402,,অকু,১,,হাঙ্গামা,,,,,,
403,,অকুআত,১,অকুয়াত,ঘটনা,বি,,আ. [আরবি],,,
404,,অকুআত,১,,দুর্ঘটনা,,,,,,
405,,অকুআত,১,,অপরাধমূলক কার্য,,,,,,
406,,অকুআত,১,,হাঙ্গামা,,,,,,
407,,অকুস্থল,১,,দুর্ঘটনাস্থল,বি,,আ. [আরবি],,তড়িঘড়ি অকুস্থান থেকে সরে পড়ে।,
408,,অকুস্থল,১,,যে স্থলে অপরাধমূলক কার্য সংঘটিত হয়েছে,,,,,,
409,,অকুস্থল,২,,ঘটনাস্থল,,,,,"আরো দু'একজন কৌতূহলী কথা শুনছে, অকুস্থল দেখছে।",
410,,অকুস্থান,১,,,,,,,,
411,,অকুস্থান,১,,,,,,,,
412,,অকুস্থান,২,,,,,,,,
413,,অকুটিল,১,অকুটিল,সরল,বিণ,,স. [সংস্কৃত],,,
414,,অকুটিল,১,,অকপট,,,,,,
415,,অকুটিলতা,১,,সরল,বি,,স. [সংস্কৃত],,,
416,,অকুটিলতা,১,,অকপট,,,,,,
417,,অকুটিলা,১,,সরল,,,,,,
418,,অকুটিলা,১,,অকপট,,,,,,
419,,অকুণ্ঠ,১,অকুন্‌ঠো,অকাতর,বিণ,,স. [সংস্কৃত],,,
420,,অকুণ্ঠ,১,,অসঙ্কুচিত,,,,,,
421,,অকুণ্ঠ,২,,অব্যাহত,,,,,,
422,,অকুণ্ঠ,২,,অপ্রতিহত,,,,,,
423,,অকুণ্ঠ,৩,,অক্ষুব্ধ,,,,,,
424,,অকুণ্ঠিত,১,অকুন্‌ঠিতো,অকাতর,বিণ,,স. [সংস্কৃত],,,
425,অকুণ্ঠের মানে যা স্ত্রীবাচকের মানেও তাই,অকুণ্ঠিত,১,,অসঙ্কুচিত,,,,,,
426,,অকুণ্ঠিত,২,,অব্যাহত,,,,,অকুণ্ঠিত মর্যাদা আছিস দাঁড়ায়ে।,
427,,অকুণ্ঠিত,২,,অপ্রতিহত,,,,,,
428,,অকুণ্ঠিত,৩,,অক্ষুব্ধ,,,,,,
429,,অকুণ্ঠিতা,,,,,,,,তুমি অকুণ্ঠিতা।,
430,,অকুণ্ঠিতচিত্ত,১,,,বিণ,,স. [সংস্কৃত],,,
431,,অকুণ্ঠিতচিত্ত,১,,,,,,,,
432,,অকুণ্ঠিতচিত্ত,১,,,,,,,,
433,,অকুণ্ঠিতচিত্তে,,,,ক্রিবিন,,স. [সংস্কৃত],,,
434,,অকুতোভয়,১,অকুতোভয়্‌,কোথাও ভয় নেই এমন,বিণ,,স. [সংস্কৃত],,,
435,,অকুতোভয়,১,,নির্ভীক,,,,,,
436,,অকুতোভয়,১,,অসমসাহসিক,,,,,,
437,,অকুতোভয়া,,,,,,,,,
438,,অকুতোভয়তা,১,,ভয়শূন্যতা,বি,,স. [সংস্কৃত],,কার্যদক্ষতা ও অকুতোভয়তা প্রভৃতির প্রভূত পরিচয় প্রদান করিতে লাগিলেন।,
439,,অকুতোভয়তা,১,,অসমসাহসিকতা,,,,,,
440,,অকুফ,১,ওকুফ্‌,বুদ্ধি,বি,,আ. [আরবি],,তোমার বেটার নহে আক্কেল অকুফ।,
441,,অকুফ,১,,কান্ডজ্ঞান,,,,,,
442,,অকুমার,১,অকুমার্‌,যথার্থ কুমার,বি,,স. [সংস্কৃত],,,
443,,অকুমার,২,,পাঁচের অধিক বয়সের বালক,,,,,,
444,,অকুমারী,১,অকুমারি,তরুণী,বি,,স. [সংস্কৃত],,,
445,,অকুমারী,১,,নবীন যুবতী,,,,,,
446,,অকুমারী,২,,বারো বৎসরের অধিক বয়স্ক কুমারী,,,,,ঘন ঘন নিঃশ্বাস ছাড়এ অকুমারী।,
447,,অকুমারীব্রত,১,,হিন্দু কুমারীর পালনীয় অনুষ্ঠান বিশেষ,বি,,স. [সংস্কৃত],,,
448,,অকুল,১,অকুল,নীচ বংশ,বি,,স. [সংস্কৃত],,,
449,,অকুল,১,,বিবাহাদি সম্পর্কের অযোগ্য বংশ,,,,,,
450,,অকুলন,১,অকুলন,অভাব,বি,,স. [সংস্কৃত],,,
451,,অকুলন,১,,অপ্রাচুর্য,,,,,,
452,,অকুলন,১,,অনটন,,,,,,
453,,অকুলান,১,অকুলান্‌,অভাব,বি,,স. [সংস্কৃত],,কোনো কিছুর অকুলান হওয়া।,
454,,অকুলান,১,,অপ্রাচুর্য,,,,,,
455,,অকুলান,১,,অনটন,,,,,,
456,,অকুলীন,১,অকুলিন্‌,নীচবংশজাত,বিণ,,স. [সংস্কৃত],,অকুলীন ভাষা,
457,,অকুলীন,১,,বংশমর্যাদাহীন,,,,,,
458,,অকুশল,১,অকুশল্‌,অমঙ্গল,বি,,স. [সংস্কৃত],,,
459,,অকুশল,১,,অশুভ,,,,,,
460,,অকুশল,২,,অপটু,,,,,,
461,,অকুশল,২,,অনিপুণ,,,,,,
462,,অকুস্থল,,,,,,,,,
463,,অকুস্থান,,,,,,,,,
464,,অকূল,১,অকুল্‌,তীরহীন,বিণ,,স. [সংস্কৃত],,অকূল মানস-সাগর জলে।,
465,,অকূল,১,,অপার,,,,,,
466,,অকূল,১,,অসীম,,,,,,
467,,অকূল,২,,গভীর,,,,,যেন কি অকূল চেনাচেনি।,
468,,অকূল,২,,নিবিড়,,,,,,
469,,অকূল,১,,কঠিন বিপদ,বি,,স. [সংস্কৃত],,অকূলে পড়া।,
470,,অকূল,১,,ঘোর সঙ্কট,,,,,,
471,,অকূল পাথার,১,,অসীম সমুদ্র,বি,,স. [সংস্কৃত],,,
472,,অকূল পাথার,১,,দুস্তর পারাবার,,,,,,
473,,অকূল পাথার,২,,কঠিন বিপদ,,,,,,
474,,অকূল পাথার,২,,মহাসঙ্কট,,,,,,
475,,অকূল-ভাসা,১,,কূলহীন পাথারে ভাসমান,বিণ,,স. [সংস্কৃত],,অকূল-ভাসা তরীর আমি মাঝি।,
476,,অকূলে কূল পাওয়া,১,,মহাবিপদ থেকে উদ্ধার পাওয়া,ক্রি,,স. [সংস্কৃত],,,
477,,অকূলে কূল পাওয়া,১,,ঘোর সঙ্কটে সাহায্য পাওয়া,,,,,,
478,,অকূলে ডুবা,১,,কঠিন বিপদগ্রস্ত হওয়া,ক্রি,,স. [সংস্কৃত],,,
479,,অকূলে ডুবা,১,,প্রাণ যাওয়ার উপক্রম হওয়া,,,,,,
480,,অকূলে ভাসা,১,,কঠিন বিপদগ্রস্ত হওয়া,ক্রি,,স. [সংস্কৃত],,,
481,,অকূলে ভাসা,১,,প্রাণ যাওয়ার উপক্রম হওয়া,,,,,,
482,,অকূলের ভেলা,১,,অসহায় অবস্থার আশ্রয়,বি,,স. [সংস্কৃত],,,
483,৫,অকৃত,১,অকৃত,করা হয়নি এমন,বিণ,,স. [সংস্কৃত],,,
484,,অকৃত,১,,অসম্পাদিত,,,,,,
485,,অকৃত,২,,নিরর্থক,,,,,,
486,,অকৃত,২,,বিফল,,,,,,
487,,অকৃতর্মা,১,,অপটু,বিণ,,স. [সংস্কৃত],,,
488,,অকৃতর্মা,১,,অপারগ,,,,,,
489,,অকৃতর্মা,১,,অকর্মণ্য,,,,,,
490,,অকৃতকার্য,১,,নিষ্ফল,বিণ,,স. [সংস্কৃত],,,
491,,অকৃতকার্য,১,,ব্যর্থ,,,,,,
492,,অকৃতকার্যতা,,,,বি,,স. [সংস্কৃত],,,
493,,অকৃতদার,১,,অবিবাহিত,বিণ,,স. [সংস্কৃত],,,
494,,অকৃতদার,১,,অনূঢ়,,,,,,
495,,অকৃতধী,১,,অল্প বুদ্ধিসম্পন্ন,বিণ,,স. [সংস্কৃত],,,
496,,অকৃতধী,১,,অস্থিরচিত্ত,,,,,,
497,,অকৃতনামী,১,,অখ্যাতা,বিণ,,স. [সংস্কৃত],,অচিরা সেই অকৃতনাম্নী প্রতিবাসিনী স্বর্ণালঙ্কারে ভূষিতা হইল।,
498,,অকৃতনামী,১,,অপ্রসিদ্ধ,,,,,,
499,,অকৃতনামা,,,,,,,,,
500,,অকৃতবিদ্য,১,,অশিক্ষিত,বিণ,,স. [সংস্কৃত],,অনেক অকৃতবিদ্য মূর্খেরও ঈশ্বর জ্ঞান আছে।,
501,,অকৃতবিদ্য,১,,নিরক্ষর,,,,,,
502,,অকৃতঘ্ন,১,অকৃতঘ্‌নো,উপকারীর উপকার স্বীকার করে এমন,বিণ,,স. [সংস্কৃত],,,
503,,অকৃতঘ্ন,১,,কৃতজ্ঞ,,,,,,
504,,অকৃতঘ্ন,১,,নিমকহালাল,,,,,,
505,,অকৃতঘ্নতা,,,,বি,,স. [সংস্কৃত],,,
506,,অকৃতজ্ঞ,১,অকৃতগ্‌গোঁ,উপকারীর উপকার স্বীকার করে না এমন,বিণ,,স. [সংস্কৃত],,,
507,,অকৃতজ্ঞ,১,,,,,,,,
508,,অকৃতজ্ঞতা,,,,বি,,স. [সংস্কৃত],,,
509,,অকৃতদার,,,,,,,,,
510,,অকৃতধী,,,,,,,,,
511,,অকৃতনামা,,,,,,,,,
512,,অকৃতনামী,,,,,,,,,
513,,অকৃতবিদ্য,,,,,,,,,
514,,অকৃতাত্মা,১,অকৃতাত্‌তাঁ,অপবিত্র চিত্ত,বি,,স. [সংস্কৃত],,,
515,,অকৃতাত্মা,১,,অবিশুদ্ধ চিত্ত,,,,,,
516,,অকৃতাত্মা,১,অকৃতাত্‌তাঁ,অপবিত্র চিত্ত,বিণ,,স. [সংস্কৃত],,,
517,,অকৃতাত্মা,১,,অবিশুদ্ধ চিত্ত,,,,,,
518,,অকৃতাদর,১,অকৃতাদর্‌,অনাদৃত,বিণ,,স. [সংস্কৃত],,,
519,,অকৃতাদর,১,,অনভ্যর্থিত,,,,,,
520,,অকৃতাদর,২,,অনাদরকারী,,,,,,
521,,অকৃতাদর,২,,অন্যের প্রতি আদর দেখায়নি এমন,,,,,,
522,,অকৃতাপরাধ,১,অকৃতাপোরাধ্‌,নির্দোষ,বিণ,,স. [সংস্কৃত],,,
523,,অকৃতাপরাধ,১,,নিরপরাধ,,,,,,
524,,অকৃতাপরাধ,১,,অপরাধ করেনি এমন,,,,,,
525,,অকৃতার্থ,১,অকৃতার্‌থো,অকৃতকার্য,বিণ,,স. [সংস্কৃত],,পরীক্ষায় অকৃতার্থ হইবার বেদনা।,
526,,অকৃতার্থ,১,,ব্যর্থ,,,,,,
527,,অকৃতার্থ,২,,দরিদ্র,,,,,,
528,,অকৃতার্থ,২,,অর্থ উপার্জন করেনি এমন,,,,,,
529,,অকৃতিত্ব,১,অকৃতিত্‌তো,অক্ষমতা,বি,,স. [সংস্কৃত],,,
530,,অকৃতিত্ব,১,,অপটুতা,,,,,,
531,,অকৃতিত্ব,১,,অযোগ্যতা,,,,,,
532,,অকৃতী,১,অকৃতি,অক্ষম,বিণ,,স. [সংস্কৃত],,অকৃতী আতুর অন্ধ অন্ন করে যায়।,
533,,অকৃতী,১,,অপটু,,,,,,
534,,অকৃতী,১,,অযোগ্য,,,,,,
535,,অকৃতোদ্বাহ,১,অকৃতোদ্‌বাহো,অবিবাহিত,বিণ,,স. [সংস্কৃত],,,
536,,অকৃতোদ্বাহা,,,,,,,,,
537,,অকৃত্য,১,অকৃত্‌তো,অকর্তব্য,বিণ,,স. [সংস্কৃত],,,
538,,অকৃত্য,১,,অকরণীয়,,,,,,
539,,অকৃত্য,১,,নিন্দিত কাজ,বি,,স. [সংস্কৃত],,,
540,,অকৃত্য,১,,কুকাজ,,,,,,
541,,অকৃত্যকারী,১,,কুকর্মকারী,বিণ,,স. [সংস্কৃত],,,
542,,অকৃত্রিম,১,অকৃত্‌ত্রিম,নিশুদ্ধ,বিণ,,স. [সংস্কৃত],,অকৃত্রিম ঔষধ।,
543,,অকৃত্রিম,১,,খাঁটি,,,,,,
544,,অকৃত্রিম,১,,আসল,,,,,,
545,,অকৃত্রিম,২,,অকপট,,,,,অকৃত্রিম হাসি।,
546,,অকৃত্রিম,২,,ছলন্যাশূন্য,,,,,,
547,,অকৃত্রিমতা,,,,বি,,স. [সংস্কৃত],,,
548,,অকৃপ,১,অকৃপ,নির্দয়,বিণ,,স. [সংস্কৃত],,,
549,,অকৃপ,১,,নিষ্ঠুর,,,,,,
550,,অকৃপা,,,,বি,,স. [সংস্কৃত],,,
551,,অকৃপণ,১,অকৃপোন্‌,মুক্তহস্ত,বিণ,,স. [সংস্কৃত],,অনেক দেছেন যিনি মানবেরে অকৃপণ করে।,
552,,অকৃপণ,১,"অকৃপন,",বদান্য,,,,,,
553,,অকৃপণ,২,,অমিতব্যায়ী,,,,,,
554,,অকৃপণ,৩,,প্রচুর,,,,,উদার অকৃপণ.,
555,,অকৃপণতা,,,,বি,,,,,
556,,অকৃষ্ট,১,অকৃশ্‌টো,চষা হয়নি এমন,বিণ,,,,,
557,,অকৃষ্ট,১,,অকর্ষিত,,,,,অকৃষ্ট জমি।,
558,,অকৃষ্টপচ্য,১,,পতিত জমিতে যে শস্যাদি উৎপন্ন হয়ে থাকে,বি,,,,পর্বতে অকৃষ্টপচ্য গম আর দ্রাক্ষালতা জন্মায়।,
559,,অকৃষ্ণ,১,অকৃশ্‌নো,কৃষ্ণবর্ণ নয় এরূপ,বিণ,,স. [সংস্কৃত],,,
560,,অকৃষ্ণ,১,,কালো ছাড়া অন্য যেকোনো রংবিশিষ্ট,,,,,,
561,,অকৃষ্ণ,২,,সাদা,,,,,অকৃষ্ণ বরণে কহি পীতবরণ।,
562,,অকৃষ্ণকর্মা,১,,নিষ্পাপ,বিণ,,,,,
563,,অকৃষ্ণকর্মা,১,,দুষ্কার্যহীন,,,,,,
564,,অকৃষ্ণকর্মা,১,,নিষ্কলঙ্ক,,,,,,
565,,অকেজো,১,অকেজো,কাজের অযোগ্য,বিণ,,,,অকেজো লোক।,
566,,অকেজো,১,,যা কোনো কাজে আসে না,,,,,অকেজো গাড়ি।,
567,,অকেজো,১,,অকর্মণ্য,,,,,,
568,,অকেলাস,১,অকেলাশ্‌,দানা বাঁধে না এমন,বিণ,,স. [সংস্কৃত],,কয়লাকে বলা হয় অকেলাস বা দানাহীন কার্বন।,
569,,কেলাসিত,১,,দানাযুক্ত,বিণ,,,,,
570,,অকেশ,১,অকেশ্‌,কেশহীন,বিণ,,স. [সংস্কৃত],,,
571,,অকেশ,১,,টেকো,,,,,,
572,,অকেশী,১,,কেশহীন,,,,,,
573,,অকেশী,১,,টেকো,,,,,,
574,,অকেশা,১,,কেশহীন,,,,,,
575,,অকেশা,১,,টেকো,,,,,,
576,,অকৈতব,১,অকোইতব্‌,অকপট,বিণ,,স. [সংস্কৃত],,,
577,,অকৈতব,১,,অকৃত্রিম,,,,,,
578,,অকৈতব,১,,সরল,,,,,,
579,,অকোপ,১,অকোপ্‌,ক্রোধশূন্যতা,বি,,স. [সংস্কৃত],,,
580,,অকোপ,১,,ক্রোধশূন্য,বিণ,,,,,
581,,অকোপ,১,,রাগ নেই এমন,,,,,,
582,,অকোপী,১,,ক্রোধশূন্য,বিণ,,,,,
583,,অকোপী,১,,রাগ নেই এমন,,,,,,
584,,অকোবিদ,১,অকোবিদ্‌,অপণ্ডিত,বিণ,,স. [সংস্কৃত],,,
585,,অকোবিদ,১,,মূর্খ,,,,,,
586,,অকৌশল,১,অকোউশল্‌,অপটুতা,বি,,স. [সংস্কৃত],,"অকৌশল, নিরানন্দ এবং পরশ্রীকাতরতা পরিপূর্ণ।",
587,,অকৌশল,১,,কৌশলের অভাব,,,,,,
588,,অকৌশল,২,,বিরোধ,,,,,,
589,,অকৌশল,২,,ঝগড়া,,,,,,
590,,অক্কা,১,অক্‌কা,প্রভু,বি,,ফা. [ফারসি],,,
591,,অক্কা,১,,মালিক,,,,,,
592,,অক্কা পাওয়া,১,,মরে যাওয়া,ক্রি,,,ব্যা. [ব্যাকরণ],,
593,,অক্কাপ্রাপ্তি,১,,মরে যাওয়া,বি,,,,,
594,,অক্টোপাস,১,অক্‌টোপাশ্‌,অষ্টভুজ সামুদ্রিক প্রাণীবিশেষ,বি,,ই. [ইংরেজি],,,
595,,অক্টোপাস,২,অক্‌টোপাস্‌,ব্যাপকভাবে অনিষ্টকর প্রভাবযুক্ত শক্তি বিশেষ,,,,,কি অক্টোপাসের পাল্লাতেই না পড়েছিল সে,
596,,অক্টোপাস,৩,,চতুর্দিক থেকে বেষ্টিত,,,,,,
597,,অক্টোপাস,৪,,আক্রান্ত ও বিপন্ন হওয়া,,,,,,
598,,অক্টোবর,১,অক্‌টোবর্‌,ইংরেজি বৎসরের দশম মাস,বি,,ই. [ইংরেজি],,,
599,,অক্রম,১,অক্‌ক্রম্‌,ক্রমশূন্য,বিণ,,স. [সংস্কৃত],,,
600,,অক্রম,১,,বিশৃঙ্খল,,,,,,
601,,অক্রম,১,,এলোমেলো,,,,,,
602,,অক্রম,১,,শৃঙ্খলার অভাব,বি,,,,,
603,,অক্রম,১,,বিপর্যাস,,,,,,
604,,অক্রিয়,১,অক্‌ক্রিয়ো,নিষ্ক্রিয়,বিণ,,স. [সংস্কৃত],,অক্রিয় অবকাশ,
605,,অক্রিয়,১,,বেকার,,,,,,
606,,অক্রিয়,২,,নিরুদ্যম,,,,,,
607,,অক্রিয়,৩,,অচল,,,,,,
608,,অক্রিয়,৩,,ক্রিয়াশূন্য,,,,,,
609,,অক্রিয়তা,,,,বি,,,,,
610,,অক্রিয়ত্ব,,,,,,,,,
611,,অক্রিয়কর্মা,১,,কুকাজ করে এমন,বিণ,,,,,
612,,অক্রিয়কর্মা,১,,কুকর্মা,,,,,,
613,৬,অক্রিয়া,১,অক্‌ক্রিয়া,কর্মশূন্যতা,বি,,স. [সংস্কৃত],,,
614,,অক্রিয়া,১,,নিষ্ক্রিয়তা,,,,,,
615,,অক্রিয়া,২,,অন্যায় কার্য,,,,,,
616,,অক্রিয়া,২,,অবৈধ ক্রিয়া,,,,,,
617,,অক্রিয়ানিষ্ঠ,১,,কুকর্মে রত,বিণ,,,,,
618,,অক্রিয়ান্বিত,১,,কুকর্মে রত,বিণ,,,,,
619,,অক্রিয়ারত,১,,কুকর্মে রত,বিণ,,,,,
620,,অক্রিয়াসক্ত,১,,কুকর্মে রত,বিণ,,,,,
621,,অক্রিয়াচরণ,১,,কুব্যবহার,বি,,,,,
622,,অক্রিয়াচরণ,১,,অবৈধ,,,,,,
623,,অক্রীত,১,অক্‌ক্রিতো,ক্রয় করা হয়নি এমন,বিণ,,স. [সংস্কৃত],,,
624,,অক্রীত,২,,কেনার মতো নয় এমন,,,,,,
625,,অক্রুদ্ধ,১,অক্রুদ্‌ধো,আড়ষ্ট,বিণ,,স. [সংস্কৃত],,,
626,,অক্রুদ্ধ,১,,ক্রোধহীন,,,,,,
627,,অক্রূর,১,অক্‌ক্রুর্‌,সরল,বিণ,,স. [সংস্কৃত],,,
628,,অক্রূর,১,,অকুটিল,,,,,,
629,,অক্রূর,১,,কৃষ্ণের পিতৃব্য,বি,,,,,
630,,অক্রেয়,১,অক্‌ক্রেয়,দুর্মূল্য,বিণ,,স. [সংস্কৃত],,,
631,,অক্রেয়,১,,মহার্ঘ,,,,,,
632,,অক্রেয়,১,,আক্রা,,,,,,
633,,অক্রেয়তা,১,,দুর্মূল্য,বি,,,,,
634,,অক্রেয়তা,১,,মহার্ঘ,,,,,,
635,,অক্রেয়তা,১,,আক্রা,,,,,,
636,,অক্রোধ,১,অক্‌ক্রোধ,ক্রোধশূন্যতা,বি,,স. [সংস্কৃত],,,
637,,অক্রোধ,১,,ক্রোধহীন,বিণ,,,,তিনি অক্রোধ ও ক্ষমাশীল,
638,,অক্রোধ,১,,রোষশূন্য,,,,,,
639,,অক্রোধিত,,,,বিণ,,,,,
640,,অক্রোধী,,,,বিণ,,,,,
641,,অক্লান্ত,১,অক্লান্‌তো,ক্লান্তিহীন,বিণ,,,,,
642,,অক্লান্ত,১,,অশ্রান্ত,,,,,,
643,,অক্লান্ত,১,,ক্লান্তিহীনভাবে,ক্রিবিন,,,,,
644,,অক্লান্ত,১,,ক্রমাগত,,,,,,
645,,অক্লান্তকর্মা,১,,পরিশ্রমে অকাতর,বিণ,,,,,
646,,অক্লান্তকর্মা,১,,অতিশয় পরিশ্রমী,,,,,,
647,,অক্লিষ্ট,১,অক্লিশ্‌টো,ক্লান্তিশূন্য,বিণ,,স. [সংস্কৃত],,,
648,,অক্লিষ্ট,১,,শ্রান্তিহীন,,,,,,
649,,অক্লিষ্ট,১,,অদম্য,,,,,,
650,,অক্লিষ্ট,২,,নিবৃত্তিহীন,,,,,,
651,,অক্লিষ্ট,২,,অদম্য,,,,,,
652,,অক্লিষ্ট,২,,নিরবচ্ছিন্ন,,,,,,
653,,অক্লিষ্ট,৩,,অম্লান,,,,,,
654,,অক্লিষ্টকর্মা,১,,পরিশ্রমে অকাতর,,,,,,
655,,অক্লিষ্টকর্মা,১,,অক্লেশে কর্মসমাপনকারী,বিণ,,,,,
656,,অক্লীব,১,অক্‌ক্লিব্‌,পুরুষত্ববিশিষ্ট,বিণ,,,,,
657,,অক্লীব,১,,বীর্যবান,,,,,,
658,,অক্লীব,২,,ধৈর্যশীল,,,,,,
659,,অক্লীব,২,,সহিষ্ণু,,,,,,
660,,অক্লেশ,১,অক্‌ক্লেশ,ক্লেশের অভাব,বি,,,,,
661,,অক্লেশ,১,,ক্লেশহীন,বিণ,,,,,
662,,অক্লেশে,১,,অনায়াসে,ক্রিবিন,,স. [সংস্কৃত],,,
