Word,Processed Result
ভাইসচ্যান্সেলর,bʰai̯ʃɔcænselɔr
পদকর্তা,pɔd̪okɔrt̪a
খেন,kʰen
হইতে,hoi̯t̪e
ব্রাহ্মীসমাজী,brammiʃɔmaɟi
বাগ্‌গি,baggi
শশব্যস্ত,ʃoʃobæst̪o
আড়িদেওয়া,adod̪id̪eo̯ɟa
প্রতিনিধি,prot̪inid̪ʰi
লিপিভুক্ত,lipibʰukt̪o
বাউস,bau̯s
খরচপত্র,kʰɔrocpɔt̪ro
বৈক্লব্য,boi̯klobbo
বিঁধিয়ে,bid̪ʰiʲe
খরশুলা,kʰɔrʃula
লাথি-খেকো,lat̪ʰi-kʰeko
উদ্বাহ,ud̪bah
ব্যবস্থিত,bæbost̪ʰit̪o
তা-না-না,t̪a-na-na
বহুভূজ,bohubʰuɟ
জ্বলন্ত,ɟolɔnt̪o
হাজত,haɟt̪o
অনুসন্ধিৎসু,onuʃɔnd̪ʰit̪ʃu
ঝোলান,ɟʰolan
গোশশা,goʃʃa
বহিঃশুল্ক,bohiʃulko
মদন,mɔd̪on
অবশেষে,ɔboʃeʃe
পদচারণ,pɔd̪ocaron
স্বেদাক্ত,ʃed̪akt̪o
ধাপে,d̪ʰape
মনশ্চাঞ্চল্য,mɔnoʃcancollo
ভলকা,bʰɔlka
শৃঙ্গ,ʃriŋgo
সেহি,ʃehi
পাঁচালি,pacali
বিসর্গ,biʃɔrgo
ঘোড়ারডিম,gʰoɽardim
পাশী,paʃi
সুতার,ʃut̪ar
আস্বাদন,aʃʃad̪on
বেণীর,benir
কুন্দা,kund̪a
ভালাই,bʰalai̯
পুরুষপ্রকৃতি,puruʃprokrit̪i
ঠাকুরসেবা,tʰakurʃeba
লগুড়,loguɽ
এককে,ække
ধুস্তর,d̪ʰust̪ɔr
নছব,nɔcʰob
শ্রমবিভাগ,sromobibʰag
বিনিন্দিতা,binind̪it̪a
খোঁট,kʰot
ডেউয়া,deu̯ʲa
ওহে,ohe
কামাল,kamal
খাজুরিয়া,kʰaɟuriʲa
পরিক্রম,porikrom
ঝিণ্টী,ɟʰinti
নিঃসংজ্ঞা,niʃʃɔŋgæ
তাড়ু,t̪aɽu
একান্নবর্তী,ækannobort̪i
আগেয়ানি,ageɟani
আবাঁধা,abad̪ʰa
সুরযোষা,ʃurɟoʃa
শিখরিন,ʃikʰrin
সীসক,ʃiʃɔk
সাস্না,ʃasna
রত্নপ্রসূ,rɔt̪noproʃu
নয়নমোহন,nɔʲonmohon
অপলাপ,ɔpolap
ঘ্রাণজ,gʰranɟ
আলতোভাবে,alt̪obʰabe
এলাকা,elaka
লোহিতক,lohit̪ok
জ্যোতিষ্মান,ɟet̪iʃman
চিন্তশীল,cint̪oʃil
অতিবাড়,ot̪ibaɽ
নৃশংসতা,nriʃɔŋʃot̪a
রম্যরচনা,rommorɔcona
ইচ্ছেময়,iccʰemɔʲ
অবিচ্ছেদ,ɔbiccʰed̪
আমলিয়াত,amliɟat̪
ইনসানিয়াত,insaniʲat̪
ফৈড়,pʰoi̯ɽ
সভয়,ʃɔbʰoɟɔro
জালিয়াত,ɟaliɟat̪
দুয়জ,d̪uʲoɟ
বিস্রুতি,bisrut̪i
উজির,uɟir
ঢলঢলে,dʰɔldʰɔle
বেলোয়ারী,beloʷari
শ্রীকণ্ঠ,srikɔntʰo
অনিয়তাকার,ɔniʲot̪akar
কিণাঙ্কিত,kinaŋkit̪o
ত্রিশূলধারী,t̪riʃuld̪ʰari
ভাগ্যবিধাতা,bʰaggobid̪ʰat̪a
নেকড়ে,nekɽe
বহুধা,bohud̪ʰa
পুঞ্জ,punɟɔ
কুড়নো,kuɽono
কামরূপা,kamrupa
জাতিগত,ɟat̪igɔt̪o
সন্ধ্যারাগ,ʃond̪ʰarag
উগ্রমূর্তি,ugromurt̪i
দর্শনডারি,d̪ɔrʃondari
বনিবনাত,bonibɔnat̪
ফলতঃ,pʰɔlt̪o
শুদ্ধা,ʃud̪d̪ʰa
ঊরুস্তম্ভ,urust̪ɔmbʰo
জঙ্গলবাড়ি,ɟɔŋgolbadori
টপ্পামারা,tɔppamara
অবাচ্য,ɔbacco
ফেটি,pʰeti
একঘরে,ækgʰɔre
দধিকর্ম,d̪od̪ʰikɔrmo
দলে,d̪ɔle
জরতারি,ɟɔrt̪ari
জলে,ɟɔle
ভাঁড়ারি,bʰaɽari
যশোরাশি,ɟɔʃoraʃi
স্থলাভিষিক্ত,st̪ʰolabʰiʃikt̪o
কানাঘুষা,kanagʰuʃa
সদরালা,ʃɔd̪rala
কর্তৃক,kɔrt̪rik
আক,ak
শকট,ʃɔkot
জিরনো,ɟirono
ময়ান,mɔʲan
গোষ্ঠীপতি,goʃtʰipot̪i
শিখণ্ডিনী,ʃikʰɔndini
সম্পূরক,ʃɔmpurok
বাধবাধ,bad̪ʰbad̪ʰ
ব্রততী,brot̪ot̪i
ক্যাটালগ,kætalɔg
বিবৃত্তি,bibrit̪t̪i
চ্যাংড়া,cæŋda
ধোকড়,d̪ʰokoɽ
পাছে,pacʰe
ককুদ,kokud̪
লেখ্য,lekʰkʰo
সম্মুখযুদ্ধ,ʃɔmmukʰɟud̪d̪ʰo
লেপচা,lepca
খেদিত,kʰed̪it̪o
আঘাতসহ,agʰat̪ʃɔho
কুব্যা,kubba
পলতা,pɔlt̪a
হন্যে,honne
পরপূর্বা,pɔrpurba
নাপ্পি,nappi
কাহার,kahar
লপরচপর,lɔporcɔpɔr
পাশুলী,paʃuli
পিটপিটানো,pitpitano
খিলাফ,kʰilapʰ
বাখড়,bakʰoɽ
ভাবাভাস,bʰababʰaʃ
প্রিয়জন,priʲoɟɔn
ছেঁচানো,cʰecano
ফোপর,pʰopor
সর্বস্ব,ʃɔrboʃʃo
গোঙ্গানো,goŋgano
কোপান্বিত,keapannit̪o
লবণপোড়া,lɔbonpoɽa
ষোড়শী,ʃodorʃi
স্বভাবকবি,ʃɔbʰabokbi
ইয়ানে,iʲane
সৌরি,ʃou̯ri
পাশ্চাত্য,paʃcat̪t̪o
প্রদর,prod̪or
রাবি,rabi
চমকয়ে,cɔmokɟɔre
চিনির,cinir
প্রজ্ঞা,progga
শকটারি,ʃɔktari
মৌতাত,mou̯t̪at̪
দিল্লী,d̪illi
দোয়েম,d̪oʲem
বেকসুর,bekʃur
জাশু,ɟaʃu
দীননাথ,d̪innat̪ʰ
রকমসকম,rɔkomʃɔkom
কুটনি,kutni
তিন্তিড়,t̪int̪iɽ
তমোহা,t̪ɔmoha
উঠন্ত,utʰont̪o
অশ্রেয়,ɔsreɟɔro
তোহ্মাহো,t̪ohmaho
বিস্তার্য,bist̪arɟo
হাজির-জবাব,haɟir-ɟɔbab
রমণ,rɔmon
জাঁতান,ɟat̪an
রণাঙ্গন,rɔnaŋgon
জীবহিংসা,ɟibohiŋʃa
মাসশ্বশুর,maʃʃoʃur
ননির,nonir
অব্যবহিত,ɔbæbohit̪o
ফাঁড়া,pʰaɽa
সুরোত্তম,ʃurot̪t̪ɔmo
তুরঙ্গীন,t̪uroŋgin
চান,can
গিরবী,girobi
দুষ্পরিহর,d̪uʃporihor
উপমেয়,upomeʲo
অপশন,ɔpʃon
তাম্বূলি,t̪ambuli
মায়াবাদীবিদ্যা,maʲabad̪ibid̪d̪a
রুচির,rucir
কবিল,kobil
ঝাপট,ɟʰapɔt
মালব,malbo
গর-ঠিকানিয়া,gɔr-tʰikaniʲa
পনা,pɔna
মিছেমিছি,micʰemicʰi
কঞ্চুকী,kɔncuki
চিরসুখী,ciroʃukʰi
মুচকিয়ে,muckiʲe
নবজ্বর,nɔboɟɟɔr
আরাস্তা,arast̪a
গাবদা,gabd̪a
সংবিদিত,ʃɔŋbid̪it̪o
ছাটকাট,cʰatkat
খাড়াঝিলিক,kʰaɽaɟʰilik
বিহনে,bihone
সমানাধিকারী,ʃɔmanad̪ʰikari
ফুলদান,pʰuld̪an
মালুঞ্চা,malunca
খাউনী,kʰau̯ni
আটাকাঠি,atakatʰi
ঝরানো,ɟʰɔrano
ছেঁচান,cʰecan
বর্জনীয়া,bɔrɟoniʲa
নিয়োজক,niʲoɟok
ঝিঁঝিঁ,ɟʰiɟʰi
বিনয়ন,binɔʲon
অধঃশিরা,ɔd̪ʰoʃira
অনভিলষণীয়,ɔnobʰilʃoniʲo
চোঁতা,cot̪a
পরিশোধ,poriʃod̪ʰ
হাঁড়ি,haɽi
অন্নওঠা,ɔnnoo̯tʰa
সিঞ্চন,ʃincɔn
সুকঠিন,ʃuktʰin
গহীন,gohin
রাজসর্প,raɟʃɔrpo
বুকজল,bukɟɔl
দুতিগিরি,d̪ut̪igiri
বনদা,bɔnod̪a
দুহাত্তা,d̪uhat̪t̪a
পঞ্চতপাঃ,pɔncot̪par
কবরখানা,kɔborkʰana
বরষা,bɔrʃa
তাঈদ,t̪ai̯d̪
মালগুজারদার,malguɟard̪ar
পুনরুৎপন্ন,punorut̪pɔnno
স্বরা,ʃɔra
মুড়িঘণ্ট,muɽigʰɔnto
তনকা,t̪ɔnka
মালী,mali
প্রকারে/,prokarer
বেকার,bekar
যোদ্ধবেশ,ɟod̪d̪ʰobeʃ
ফিল্ডিং,pʰildiŋ
শান্তি,ʃant̪i
সৌহার্দ্য,ʃou̯hard̪o
বড়ুয়া,boɽuʷa
জিঘক্ষা,ɟigʰɔkkʰa
প্রতিবিম্বিত,prot̪ibimbit̪o
বক্কেশ্বর,bokkeʃʃɔr
প্রস্বাপন,proʃʃapon
উষ্ণ,uʃno
অযোনিসম্ভূতা,ɔɟoniʃɔmbʰut̪a
অগোপনীয়,ɔgoponiʲo
কেউকেটা,keu̯keta
স্ফীতা,spʰit̪a
কীদৃশী,kid̪riʃiʃi
সম্ভূত,ʃɔmbʰut̪o
ফিতনা,pʰit̪na
প্রাক্কলন,prakkolon
ওষ্ঠব্রণ,oʃtʰobron
জেঠাই,ɟetʰai̯
ওফাত,opʰat̪
করুণা,koruna
চিত্তব্যাসঙ্গ,cit̪t̪obæʃɔŋgo
কয়জন,kɔʲɟɔn
পদবী,pɔd̪obi
অংশক,ɔŋʃok
ঔধস্য,ou̯d̪ʰoʃʃo
তোলক,t̪olok
বয়োবৃদ্ধি,bɔʲobrid̪d̪ʰi
বৈঁতিক,boi̯t̪ik
আদ্যাশক্তি,ad̪d̪aʃokt̪i
অবধৌত,ɔbod̪ʰou̯t̪o
সান্বয়,ʃannoɟɔro
গোলান্দাজী,goland̪aɟi
ফলশালিনী,pʰɔlʃalini
পুঁচকে,pucke
দোদুল,d̪od̪ul
মদদগার,mɔd̪od̪gar
মুবিনা,mubina
মহারৌরব,mɔharou̯rɔb
আধপনা,ad̪ʰpɔna
ধুনখারা,d̪ʰunkʰara
লংকাফোড়ন,lɔŋkapʰoɽon
এতাদৃশ,æt̪ad̪riʃ
ওয়াসকিট,oʷaskit
চিনচিনে,cincine
উপোষী,upoʃi
ত্রিবেদিন,t̪ribed̪in
দিগ্ধ,d̪igd̪ʰo
জন্মপরিগ্রহ,ɟɔnmoporigroho
থকথক,t̪ʰɔkt̪ʰɔk
অনির্দেশ,ɔnird̪eʃ
কৌসুম্ভ,kerʃumbʰo
সেকা,ʃeka
অন্তঃশত্রু,ɔnt̪oʃʃot̪ru
নকশবন্দিয়া,nɔkʃobond̪iʲa
রানি,rani
সংরুদ্ধ,ʃɔŋrud̪d̪ʰo
ঝুটা,ɟʰuta
কালী,kali
নিঃশ্বসন,niʃʃoʃon
মহিষমর্দিনী,mohiʃɔmord̪ini
অবতারণ,ɔbot̪aron
ভিক্ষুণী,bʰikkʰuni
স্বভাবচরিত্র,ʃɔbʰabocorit̪ro
বেপরোয়া,beproʷa
রাখিয়া,rakʰiʲa
মৎফরেক্কা,mɔt̪pʰɔrekka
পিলু,pilu
উচুনিচু,ucunicu
ভ্রমসঙ্কুল,bʰromʃɔŋkul
আহেরা,ahera
অচাল্য,ɔcallo
ছালটি,cʰalti
ধুঁকুনি,d̪ʰukuni
বেসন,beʃon
স্বাগত,ʃagɔt̪o
কৃষ্ণা,kriʃna
গাত্র,gat̪ro
দিনমুখরবি,d̪inmukʰorbi
ফাঁদানী,pʰad̪ani
পরিমণ্ডিত,porimɔndit̪o
কিলাকিলি,kilakili
পাকাশয়,pakaʃɔʲ
শাখাচ্যুত,ʃakʰacut̪o
ঠেলা-গাড়ি,tʰela-gaɽi
উঘার,ugʰar
বুদে,bud̪e
টাঙ্গানো,taŋgano
শাক-শুঁটকি,ʃak-ʃutki
বর্শা,bɔrʃa
লোকবল,lokbɔl
বিবিধ,bibid̪ʰ
মৃন্ময়,mrinmɔʲ
খোলতা,kʰolt̪a
তহবিলদার,t̪ɔhobild̪ar
সাতাশী,ʃat̪aʃi
প্রেতযোনি,pret̪ɟoni
পূজ্যমান,puɟɟoman
ভূতে,bʰut̪e
একার্থপ্রতিপাদকতা,ækart̪ʰoprot̪ipad̪okɔt̪a
বন্ধুয়া,bond̪ʰuʲa
ফণীরাজ,pʰoniraɟ
কলহ,kɔloho
পান্থনিবাস,pant̪ʰonibaʃ
ড্রিল,dril
পুষ্পিকা,puʃpika
অনুযোগী,onuɟogi
কিরণময়,kirɔnmɔʲ
লূতা,lut̪a
চৌকোনা,cou̯kona
ঠেঠী,tʰetʰi
তস্ত,t̪ɔst̪o
পেয়ারি,peʲari
স্থিরনিশ্চয়,st̪ʰirniʃcɔʲ
তলগত,t̪ɔlgɔt̪o
টেঁটরাওয়ালা,tetrao̯ʷala
জলটল,ɟɔltɔl
ষড়রস,ʃɔdorɔrs
কূর্চ,kurc
ষ,ʃɔ
ভোগা,bʰoga
ওয়াক,oʷak
কংস,kɔŋʃo
কুঠিয়াল,kutʰiʲal
খুটুর,kʰutur
জজপণ্ডিত,ɟɔɟpɔndit̪o
হঙ১,hoŋi
উনিশ-বিশ,uniʃ-biʃ
বদহজমি,bɔd̪hoɟomi
খুঙি,kʰuŋi
গুণসুচ,gunʃuc
দরী-প্রাণ,d̪ori-pran
শুশুক,ʃuʃuk
চাষাবাদ,caʃabad̪
নি,ni
জবুর,ɟobur
বকরি,bɔkri
কিতাবত,kit̪abɔt̪
বরাটিয়া,bɔratiʲa
ধ্বনন,d̪ʰɔnon
ক্ষীরশাপাতি,kʰirʃapat̪i
অসাময়িক,ɔʃamɟorik
কনভোকেশন,kɔnbʰokeʃon
ডাং,daŋ
গুলাল,gulal
কালসর্প,kalʃɔrpo
ইজাব,iɟab
চিড়া,ciɽa
তটপথ,t̪ɔtpɔt̪ʰ
কোসল,kosol
পদচ্যুত,pɔd̪ocut̪
হাঁসি,haʃi
অনুকরণীয়,onukɔroniʲo
একতা,ækt̪a
অসন্তুষ্ট,ɔʃɔnt̪uʃto
বহুশ্রুত,bohusrut̪o
ঝটকা,ɟʰɔtka
দিঠ,d̪itʰ
সওদাগর,ʃɔo̯d̪agor
চিলের,ciler
গরিবি,goribi
যতবার,ɟɔt̪obar
উদ্ব্যক্ত,ud̪bekt̪o
লোকোত্তর,lokot̪t̪ɔr
কবিত্ব,kobit̪t̪o
ভায়,bʰaʲ
ছটাকি,cʰɔtaki
বরিখত,borikʰɔt̪
ভূতচতুর্দশী,bʰut̪cot̪urd̪oʃi
আদর্শবািদ্যালয়,ad̪orʃobaid̪d̪alɔʲ
সূচালো,ʃucalo
খড়খড়ে,kʰɔɽkʰɔɽe
দাঁড়কাক,d̪aɽkak
যান,ɟan
ফলাফল,pʰɔlapʰɔl
বুঝানো,buɟʰano
সংঘর্ষ,ʃɔŋgʰɔrʃo
আত্তীকরণ,at̪t̪ikɔron
মুন্সেফী,munsepʰi
নিঘুম,nigʰum
জ্বরিত,ɟorit̪o
গরীয়সী,goriʲoʃi
হাই-আমলা,hai̯-amla
দ্রাবিড়ীয়,d̪rabiɽiʲo
সঙ্‌গঠক,ʃɔŋgɔtʰok
উঃ,u
দিনগত,d̪ingɔt̪o
প্রজ্বালন,proɟɟalon
গন্ধবণিক,gɔnd̪ʰobonik
রঙঢং,rɔŋdʰɔŋ
শা-দরজা,ʃa-d̪ɔrɟa
অবিবাহিত,ɔbibahit̪o
অনিচ্ছুক,ɔniccʰuk
মস্তিষ্ক,most̪iʃko
নিদ্রাতুর,nid̪rat̪ur
নাম্বা,namba
মাস্তানি,mast̪ani
উপাসক,upaʃok
চিট,cit
ইউনিয়ান,iu̯niʲan
দিদিঠাকুরানী,d̪id̪itʰakurani
পঞ্চমহাপাতক,pɔncomɔhapat̪ok
যুঝা,ɟuɟʰa
গোপ,gop
সান্ধিবিগ্ৰহিক,ʃand̪ʰibiggrik
ষষ্ঠ,ʃɔʃtʰo
জম্বুরা,ɟombura
মৃগচর্ম,mrigɔcɔrmo
জুয়াড়ি,ɟuɟadori
চিরায়ুষ্মতী,ciraɟuʃmot̪i
গরিমা,gorima
নির্বিশঙ্ক,nirbiʃɔŋko
থাপড়ি,t̪ʰapɽi
শোণা,ʃona
পছন্দ,pɔcʰond̪o
টোকা,toka
সাঁকতি,ʃakt̪i
শিখর,ʃikʰɔr
তহরীর,t̪ɔhorir
পিতৃলোক,pit̪rilok
নিগণ্ঠ,nigɔntʰo
ষণ্ডামর্ক,ʃɔndamɔrk
তিরছ,t̪ircʰo
গয়ানদার,gɔʲand̪ar
অলাবূ,ɔlabu
যোগানো,ɟogano
কেউর,keu̯r
বড়বাগ্নি,bɔɽobagni
শরভ,ʃɔrbʰo
পোল,pol
ভ্রান্তিপ্রদ,bʰrant̪iprod̪o
ওয়াপস,oʷaps
নিরা,nira
ছেদক,cʰed̪ok
পঞ্চামৃত,pɔncamrit̪o
বাদন,bad̪on
চিটচিট,citcit
গরমগরম,gɔromgɔrɔm
কোজাত,koɟat̪
পাতানো,pat̪ano
মদত,mɔd̪ot̪ɔt̪
কন্দক,kɔnd̪ok
খবরদারী,kʰɔbord̪ari
সুপারি,ʃupari
জনলোক,ɟɔnlok
সমকক্ষতা,ʃɔmokɔkkʰot̪a
টুইল,tui̯l
ঈক্ষমাণ,ikkʰoman
ভূঁইয়া,bʰuiʲa
বদরী,bɔd̪ori
ধানসি,d̪ʰanʃi
নিষ্কৃত,niʃkrit̪o
মারে,mare
নিমিখ,nimikʰ
প্রাণগতিক,prangot̪ik
ত্রয়ঃসপ্ততি,t̪roʲʃɔpt̪ot̪i
ঈশ্বরকৃত,iʃʃɔrkrit̪o
নিঃসঙ্গ,niʃʃɔŋgo
সরো,ʃɔro
চিত্তদমন,cit̪t̪od̪ɔmon
অগ্রনেতা,ɔgronet̪a
ভয়াকুল,bʰɔʲakul
চ্যাটা,cæta
জলটুংগি,ɟɔltuŋgi
গোণী,goni
অব্যবস্থ,ɔbæbost̪ʰo
দেয়,d̪eʲ
দর্জামতো,d̪ɔrɟamɔt̪o
নক্ষত্রদিবস,nɔkkʰot̪rod̪ibɔʃ
পরাহতসুদূর,pɔrahɔt̪ʃud̪ur
নাড়িশাক,naɽiʃak
ঢলকান,dʰɔlkan
পরিত্যাজ্য,porit̪t̪aɟɟo
রঙ্গিত,roŋgit̪o
পিতৃশোক,pit̪riʃok
হাওয়ালাদার,hao̯ʷalad̪ar
রোদ্ধা,rod̪d̪ʰa
দাওয়াই,d̪ao̯ʷai̯
কাটাইয়া,katai̯ʲa
পসালা,pɔʃala
রান,ran
আত্মনিবিষ্ট,at̪t̪onibiʃto
মনকিয়া,monkiʲa
কেলেসোনা,kelesona
আধিভৌতিক,ad̪ʰibʰou̯t̪ik
উদ্যোগশীল,ud̪d̪ogʃil
সমুজ,ʃomuɟ
ঘূণী,gʰuni
ছক্কড়,cʰɔkkodori
খদিকা,kʰod̪ika
এডিট,edit
কর্তৃকারক,kɔrt̪rikarok
দশাশ্বমেধ,d̪ɔʃaʃʃomed̪ʰ
আটা৩,atar
কীর্তিকলাপ,kirt̪ikɔlap
ডাঁড়ানো,daɽano
সিউলী,siu̯li
কওয়া,koʷa
লোকো,loko
আঙ্গারধানী,aŋgard̪ʰani
অঞ্জলিবন্ধন,ɔnɟolibɔnd̪ʰon
এবেলা,ebela
স্থাপনীয়,st̪ʰaponiɟɔr
বিভজনীয়,bibʰɔɟoniʲo
শল্কী,ʃolki
কৌতূহলোদ্দীপক,kou̯t̪uhɔlod̪d̪ipɔk
তর্জমান,t̪ɔrɟoman
আর্য,arɟo
সুনাসিক,ʃunaʃik
তারামৈত্রী,t̪aramoi̯t̪ri
ফিরাই,pʰirai̯
সরমরাঙা,ʃɔromraŋa
হরচূড়ামণি,hɔrcuɽamoni
রোমাঞ্চিত,romancit̪o
খতানো,kʰɔt̪ano
অধিকতর,od̪ʰikɔt̪or
মুকরারি,mukrari
দৃষ্টান্ত,d̪riʃtant̪o
কুণ্ডলিত,kundolit̪o
দীপিত,d̪ipit̪o
আপ্লাবন,aplabon
হরিতা,horit̪a
মাহুর,mahur
আক্রান্ত,akrant̪o
শুক্লা,ʃukla
ইনকিলাব,inkilab
কামগম,kamgɔm
মুুক্তহৃদয়,mukt̪ohrid̪ɔʲ
প্রাণদ,pranɔd̪
চীরা,cira
উচাকথা,ucakɔt̪ʰa
দবিরখাস,d̪obirkʰaʃ
বুড়োটে,buɽote
নালিক,nalik
ডেঁপ,dep
ভাদ্রব্ধূ,bʰad̪robd̪ʰu
বাকপ্রণালি,bakpronali
ধোঁয়া,d̪ʰoʷa
আরক্ত,arokt̪o
অনতীত,ɔnot̪it̪o
একতম,ækt̪ɔm
নাঞ্ছন,nancʰon
পদাহত,pɔd̪ahɔt̪
চক্ষুমান,cokkʰuman
কূটকর্ম,kutkɔrmo
খুশ্‌ক,kʰuʃk
ঢাকনা,dʰakna
কোড়া,koɽa
ক্ষীপ্রকারিতা,kʰiprokarit̪a
অকুমারী,ɔkumari
ভাটারিখানা,bʰatarikʰana
প্রচীয়মান,prociʲoman
তিঅজ,t̪iɔ̯ɟ
সহেলি,ʃɔheli
জলমন্দ্র,ɟɔlmɔnd̪ro
রক্তপিপাসা,rɔkt̪opipaʃa
স্ফুটবাক,spʰutbak
উদুম্বর,ud̪umbɔr
হতচেতন,hɔt̪ocet̪on
ধর্মচারী,d̪ʰɔrmocari
ক্লিন্নতা,klinnot̪a
ব্যবকলিত,bæboklit̪o
টিপাটিপি,tipatipi
কুটকুটে,kutkute
প্রতিবাদী,prot̪ibad̪i
অঙ্কস্থ,ɔŋkost̪ʰo
অনন্যতন্ত্রতা,ɔnonnot̪ɔnt̪rot̪a
পিটনা,pitna
ফিটফাট,pʰitpʰat
ইমন,imon
অচেত,ɔcet̪
পেলানো,pelano
দিকপতি,d̪ikpot̪i
শোরগোল,ʃorgol
রৌদ্র,rou̯d̪ro
নির্মিতি,nirmit̪i
কোহতুর,kohot̪ur
আহলাদের,ahlad̪er
পঙ্কজিনী,pɔŋkoɟini
তলাপাত্র,t̪ɔlapat̪ro
সল্লভ,ʃɔllɔbʰ
গেঁড়,geɽ
দায়মূল,d̪aʲmul
সংকুচিত,ʃɔŋkucit̪o
লাইফ,lai̯pʰ
পরধন,pɔrod̪ʰon
ভাগ্যহীনতা,bʰaggohinot̪a
ভবসাগর,bʰɔboʃagor
শোণিত,ʃonit̪o
দেলকো,d̪elko
অব্যয়,ɔbæʲ
গণিতবিদ্যা,gonit̪bid̪d̪a
পীবরা,pibra
সমশ্বর,ʃɔmoʃʃɔr
রসাধিক্য,rɔʃad̪ʰikko
বিরোধাভাস,birod̪ʰabʰaʃ
সমর্থন,ʃɔmort̪ʰon
চেটুয়া,cetuʷa
সমসাময়িকতা,ʃɔmoʃamɟoikɔt̪a
জ্ঞানাকর,gænakɔr
খোশখেয়াল,kʰoʃkʰeʲal
ঢং,dʰɔŋ
সুবেদারি,ʃubed̪ari
পরিবহন,poribɔhon
বাগ্‌‌জাল,bagɟal
পালঙ্,paloŋ
দিই,d̪ii̯
মরণকাঠি,mɔronkatʰi
ওয়াজিব,oʷaɟib
সুবাহজাত,ʃubahɟat̪
গ্রেড,gred
তৈলী,t̪oi̯li
ত্রিদশবনিতা,t̪rid̪ɔʃbonit̪a
ভুষি,bʰuʃi
নৈশব্দ,noi̯ʃɔbd̪o
অপশব্দ,ɔpoʃɔbd̪o
শচীবিলাস,ʃocibilaʃ
শাখিন,ʃakʰin
সম্পাদকীয়,ʃɔmpad̪okiɟɔr
যেদালা,ɟed̪ala
তোপদাগা,t̪opd̪aga
নিরুপাধি,nirupad̪ʰi
ইনজিল,inɟil
অর্কতাপত্তি,ɔrkot̪apɔt̪t̪i
পাড়াগাঁ,paɽaga
বেরি,beri
জিরজিরে,ɟirɟire
বিরতি,birot̪i
বিভোল,bibʰol
স্মরণীয়,ʃɔroniɟɔro
কচুর,kocur
সৈতান,ʃoi̯t̪an
লছিমী,locʰimi
আঘাতী,agʰat̪i
বয়োজীর্ণ,bɔʲoɟirno
মেম্বার,membar
অক্ষর,ɔkkʰor
অট্টালিকা,ɔttalika
পেগম্বর,pegombɔr
তাম্বুপানা,t̪ambupana
হেজে,heɟe
দধীচ,d̪od̪ʰic
ঘণ্টি,gʰɔnti
দোমালা,d̪omala
প্রতিসারী,prot̪iʃari
রণ্ড,rɔndo
রঙ্গীন,roŋgin
ডবি,dobi
পখাড়ন,pɔkʰaɽon
শোষণ,ʃoʃon
পরিপুষ্ট,poripuʃto
মালাবার,malabar
অযাচিত,ɔɟacit̪o
বার্ষিকী,barʃiki
কুম্ভীপাক,kumbʰipak
তেয়াগিব,t̪eɟagib
বিদ্যাবতী,bid̪d̪abot̪i
উৎপন্নমতিত্ব,ut̪pɔnnomot̪it̪t̪o
কুস্বপ্ন,kuʃʃɔpno
রাঅ,raɔ̯
জাত্যন্ধ,ɟat̪t̪ond̪ʰo
সমরশায়ী,ʃɔmorʃaʲi
অভরসা,ɔbʰɔrʃa
পুরাণ-পুরুষ,puran-puruʃ
মনসামঙ্গল,mɔnoʃamoŋgol
অজর,ɔɟɔr
মৃত্যুঞ্জয়,mrit̪t̪unɟɔʲ
চাটুতি,catut̪i
সম্ভত,ʃɔmbʰɔt̪
ধনুখরা,d̪ʰonukʰɔra
সংবিভক্ত,ʃɔŋbibʰɔkt̪o
ডাউল,dau̯l
পঞ্জর,pɔnɟɔr
কাঁকুই,kakui̯
শতরঞ্জ,ʃɔt̪orɔnɟo
অগ্নিহোত্রী,ɔgnihot̪ri
নিমিঝিমি,nimiɟʰimi
জোরজবরদস্তি,ɟorɟɔbɔrd̪ost̪i
তালষাঁড়া,t̪alʃaɽa
সজ্জা,ʃɔɟɟa
সরবন্ধ,ʃɔrbɔnd̪ʰo
নিবদ্ধকরণ,nibɔd̪d̪ʰokɔron
গল্পগুজব,gɔlpoguɟɔb
মর্মোদ্ভেদ,mɔrmod̪bʰed̪
রাস্কেল,raskel
যোগে,ɟoge
পরাগযোগ,pɔragɟog
তরুবিলাসিনী,t̪orubilaʃini
ঠাসা,tʰaʃa
মিলন,milon
গাথা,gat̪ʰa
আদেখলাপনা,ad̪ekʰlapona
করকর,kɔrkɔr
চৌদিক,cou̯d̪ik
লেড়ে,leɽe
সমরাঙ্গন,ʃɔmoraŋgon
অহিফেনসেবী,ɔhipʰenʃebi
নাদুসনুদুস,nad̪uʃnud̪uʃ
সিস,sis
দাপটে,d̪apte
খেত্রী,kʰet̪ri
পুরন্দর,purond̪or
রত্নকর,rɔt̪nokɔr
ওয়াদাদার,oʷad̪ad̪ar
শাগ-সবজি,ʃag-ʃobɟi
আগাথা,agat̪ʰa
শালওয়ালা,ʃaloʷala
নিয়মকানুন,niʲomkanun
পুনরাগমন,punoragɔmon
লচপচ,lɔcpɔc
আঁটি১,atir
আলিঙ্গিত,aliŋgit̪o
ঘোড়ারু,gʰodaru
এঁটোপাড়া,etopaɽa
বৎসর,bɔt̪ʃɔr
আসামী,aʃami
কুক্কুটী,kukkuti
সমীপবর্তী,ʃomipbort̪i
